Unnamed: 0,zip_month,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT11
2659,30543-Aug,0,34.4258064516129,0,0,317.379194630873,201.211409395973,0,0
2660,30543-Sep,0,28.9933333333333,0,0,283.678929765886,166.513333333333,0,0
2661,30543-Oct,0,36.3125,0,0,230.993788819876,95.7267080745342,0,0
2662,30543-Nov,0,35.2727272727273,0,0,177.192926045016,33.6325878594249,0,0
2663,30543-Dec,0,47.8029411764706,0.211111111111111,0.25,131.130952380952,17.297619047619,0,0
2676,65072-Jan,0,10.624633431085,2.10283687943262,6.67333333333333,62.1850746268657,-45.5519287833828,0,0
2677,65072-Feb,0,19.3729903536977,2.49799196787149,9,76.9934640522876,-32.640522875817,0,0
2678,65072-Mar,0,29.6117647058824,0,0,149.029585798817,31.8823529411765,0,1
2679,65072-Apr,0,49.6121212121212,0,0,200.015151515151,80.2242424242424,0,0
2680,65072-May,0,46.9853372434018,0,0,242.862170087976,129.322580645161,0,0
2681,65072-Jun,0,39.1575757575758,0,0,294.103343465046,188.677811550152,0,0
2682,65072-Jul,0,30.4398826979472,0,0,314.126099706745,207.604105571848,0,0
2683,65072-Aug,0,43.4369501466276,0,0,308.067647058824,199.744117647059,0,0
2684,65072-Sep,0,37.6363636363636,0,0,269.272727272727,161.772727272727,0,0
2685,65072-Oct,0,29.1026392961877,0,0,211.991150442478,98.8495575221239,0,0
2686,65072-Nov,0,23.7909090909091,0,0,148.343465045593,36.7386018237082,0,0
2687,65072-Dec,0,19.8445747800587,0.538181818181818,0,79.0146627565982,-18.4985337243402,0,0
2700,94801-Jan,0,32.425219941349,0,0,150.492668621701,66.008797653959,0,0
2701,94801-Feb,0,41.2636655948553,0,0,167.752411575563,79.2700964630225,0,0
2702,94801-Mar,0,31.5366568914956,0,0,182.120234604106,85.475073313783,0,0
2703,94801-Apr,0,14.6212121212121,0,0,199.215151515152,94.7848484848485,0,0
2704,94801-May,0,3.0791788856305,0,0,207.530791788856,108.422287390029,0,0
2705,94801-Jun,0,2.53939393939394,0,0,223.675757575758,118.509090909091,0,0
2706,94801-Jul,0,0,0,0,218.648093841642,128.706744868035,0,0
2707,94801-Aug,0,0.008797653958944,0,0,221.695014662757,133.284457478006,0,0
2708,94801-Sep,0,1.03636363636364,0,0,247.027272727273,131.657575757576,0,0
2709,94801-Oct,0,11.475073313783,0,0,230.979472140762,122.087976539589,0,0
2710,94801-Nov,0,18.0060606060606,0,0,185.115151515152,95.7272727272727,0,0
2711,94801-Dec,0,37.8475073313783,0,0,145.410557184751,66.9472140762464,0,0
2736,37180-Jan,0,36.6656891495601,1.75675675675676,5.70319634703196,75.734756097561,-32.8963414634146,0,1
2737,37180-Feb,0,29.887459807074,0.881294964028777,2.74193548387097,97.2222222222222,-20.7875816993464,0,1
2738,37180-Mar,0,38.624633431085,1.09539473684211,2.46255506607929,161.648648648649,31.7987987987988,0,1
2739,37180-Apr,0,45.8939393939394,0,0,212.920972644377,76.7173252279635,0,1
2740,37180-May,0,41.4633431085044,0,0,252.307692307692,128.307692307692,0,0
2741,37180-Jun,0,40.330303030303,0,0,300.751552795031,178.114906832298,0,1
2742,37180-Jul,0,42.4662756598241,0,0,306.703592814371,192.797014925373,0,0
2743,37180-Aug,0,38.8533724340176,0,0,310.282208588957,191.300613496933,0,1
2744,37180-Sep,0,36.2272727272727,0,0,279.689969604863,151.857142857143,0,0
2745,37180-Oct,0,32.8181818181818,0,0,222.136778115502,86.9240121580547,0,1
2746,37180-Nov,0,32.2818181818182,0,0.026737967914439,155.907975460123,23.3680981595092,0,1
2747,37180-Dec,0,50.5865102639296,0.357859531772575,0.892682926829268,104.88790560472,-2.62721893491124,0,0
2748,39153-Jan,0,41.2323529411765,0.061764705882353,0.303303303303303,131.032738095238,2.50149253731343,0,0
2749,39153-Feb,0,46.1093247588424,0.374592833876221,0.415032679738562,152.14657980456,16.3888888888889,0,0
2750,39153-Mar,0,51.8554572271386,0,0,202.700296735905,60.5727002967359,0,0
2751,39153-Apr,0,41.8742331288344,0,0,240.827692307692,101.301829268293,0,1
2752,39153-May,0,38.0850439882698,0,0,275.25748502994,145.494011976048,0,0
2753,39153-Jun,0,43.4090909090909,0,0,315.814241486068,190.672839506173,0,0
2754,39153-Jul,0,40.3176470588235,0,0,318.947530864198,203,0,1
2755,39153-Aug,0,40.1582089552239,0,0,321.347305389222,199.850299401198,0,1
2756,39153-Sep,0,40.4575757575758,0,0,300.281345565749,167.268292682927,0,0
2757,39153-Oct,0,21.0117302052786,0,0,250.609467455621,95.4441176470588,0,1
2758,39153-Nov,0,31.4634146341463,0,0,191.219135802469,41.2215384615385,0,0
2759,39153-Dec,0,53.1970588235294,0.198795180722892,0.713395638629283,148.931547619048,25.0238805970149,0,1
2760,38568-Jan,0,42.8525073746313,2.16558441558442,1.74058577405858,75.7758620689655,-32.8931034482759,0,0
2761,38568-Feb,0,36.016393442623,2.73540856031128,0.704301075268817,98.7595419847328,-22.1526717557252,0,0
2762,38568-Mar,0,42.6235294117647,0.557432432432432,0.471074380165289,156.857566765579,23.4154302670623,0,0
2763,38568-Apr,0,54.5787878787879,0.029520295202952,0,213.2,66.89375,0,0
2764,38568-May,0,45.5982404692082,0,0,254.467532467532,118.211038961039,0,0
2765,38568-Jun,0,41.1367781155015,0,0,297.067375886525,166.294326241135,0,0
2766,38568-Jul,0,58.8328445747801,0,0,304.032258064516,183.312903225806,0,0
2767,38568-Aug,0,42.1964809384164,0,0,305.027692307692,180.126153846154,0,0
2768,38568-Sep,0,39.9757575757576,0,0,275.531353135313,145.254125412541,0,0
2769,38568-Oct,0,34.1088235294118,0,0,219.912621359223,75.4595469255663,0,0
2770,38568-Nov,0,38.1818181818182,0.176029962546816,0.030487804878049,156.754325259516,13.8961937716263,0,0
2771,38568-Dec,0,57.9560117302053,1.3029197080292,0.770731707317073,101.301369863014,-9.78424657534247,0,0
2772,99301-Jan,0,14.1323529411765,8.53846153846154,0,38.834008097166,-37.3765182186235,0,0
2773,99301-Feb,0,7.3,7.76315789473684,0,82.9336734693878,-29.1173469387755,0,0
2774,99301-Mar,0,9.85113268608414,2.375,0,142.641860465116,0.158139534883721,0,0
2775,99301-Apr,0,6.84012539184953,0,0,186.675438596491,22.4649122807018,0,0
2776,99301-May,0,6.57184750733138,0,0,235.657258064516,65.8266129032258,0,0
2777,99301-Jun,0,6.90853658536585,0,0,274.18487394958,104.932773109244,0,0
2778,99301-Jul,0,1.35988200589971,0,0,326.09756097561,131.29674796748,0,0
2779,99301-Aug,0,1.67256637168142,0,0,322.621951219512,123.508130081301,0,0
2780,99301-Sep,0,3.00606060606061,0,0,267.35687732342,81.2835820895522,0,0
2781,99301-Oct,0,8.02052785923754,0,0,185.71582733813,36.7158273381295,0,0
2782,99301-Nov,0,8.53939393939394,3.2,0.909090909090909,100.92962962963,-11.662962962963,0,0
2783,99301-Dec,0,12.1356932153392,8.87826086956522,0.938271604938272,37.518115942029,-44.0216606498195,0,0
2796,14131-Jan,55.2724014336918,18.5043988269795,12.1554252199414,56.049853372434,5.87390029325513,-70.0938416422288,1,1
2797,14131-Feb,53.9525691699605,23.8906752411576,19.4372990353698,113.742765273312,9.41800643086817,-74.3279742765273,1,1
2798,14131-Mar,48.5539568345324,20.9237536656891,7.55425219941349,39.2521994134897,62.5689149560117,-37.1114369501466,1,1
2799,14131-Apr,47.8222222222222,29.6727272727273,1.26060606060606,0.842424242424242,133.954545454545,19.0939393939394,1,1
2800,14131-May,39.621359223301,23.6598240469208,0,0,204.093841642229,82.1759530791789,1,1
2801,14131-Jun,38.3456375838926,33.8,0,0,250.457575757576,142.178787878788,1,1
2802,14131-Jul,35.3516129032258,27.1202346041056,0,0,279.609970674487,169.671554252199,1,1
2803,14131-Aug,33.537216828479,23.7214076246334,0,0,272.718475073314,161.064516129032,1,0
2804,14131-Sep,32.8321917808219,23.0090909090909,0,0,237.621212121212,122.742424242424,1,1
2805,14131-Oct,42.3161290322581,29.7272727272727,0,0,168.504398826979,71.4604105571847,1,1
2806,14131-Nov,44.4882943143813,20.530303030303,1.94242424242424,2.99393939393939,100.981818181818,8.22727272727273,1,1
2807,14131-Dec,51.1870967741935,25.8211143695015,12.1876832844575,32.7302052785924,35.8651026392962,-34.4985337243402,1,1
2856,95944-Jan,0,101.723076923077,5.65587044534413,1.15909090909091,96.4225806451613,-18.0483870967742,0,0
2857,95944-Feb,0,122.632653061224,3.17567567567568,9.06572769953052,118.374558303887,-3.32508833922262,0,0
2858,95944-Mar,0,97.1780821917808,1.00414937759336,5.90350877192982,149.383870967742,7.28387096774194,0,0
2859,95944-Apr,0,53.7490347490347,0.954166666666667,0.429787234042553,178.193333333333,20.6933333333333,0,0
2860,95944-May,0,27.3082706766917,0,0,227.81935483871,55.7290322580645,0,0
2861,95944-Jun,0,9.852,0,0,280.86,84.1233333333333,0,0
2862,95944-Jul,0,0.453571428571429,0,0,321.36569579288,110.541935483871,0,0
2863,95944-Aug,0,1.44128113879004,0,0,316.925806451613,103.377419354839,0,0
2864,95944-Sep,0,7.59782608695652,0,0,288.813333333333,76.88,0,0
2865,95944-Oct,0,52.8856088560886,0,0.270462633451957,215.138709677419,42.0483870967742,0,0
