uniqid,zip,year,month,day,sid,type,name,lat,lon,nth,distance,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT11
1001,18940,2007,4,9,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,33,0,0,0,50,-17,,
1001,18940,2007,4,10,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,34,0,0,0,78,-28,,
1001,18940,2007,4,11,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,34,0,0,0,100,-39,,
1001,18940,2007,4,12,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,44,391,0,0,122,-39,,
1001,18940,2007,4,13,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,62,0,0,0,78,44,,
1001,18940,2007,4,14,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,34,0,0,0,100,-6,,
1001,18940,2007,4,15,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,59,1257,0,0,122,-6,,
1001,18940,2007,4,16,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,78,290,0,0,83,17,,
1001,18940,2007,4,17,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,54,8,0,0,56,6,,
1001,18940,2007,4,18,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,35,0,0,0,100,44,,
1001,18940,2007,4,19,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,27,13,0,0,111,50,,
1001,18940,2007,4,20,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,25,0,0,0,133,17,,
1001,18940,2007,4,21,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,11,0,0,0,217,11,,
1001,18940,2007,4,22,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,20,0,0,0,244,17,,
1001,18940,2007,4,23,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,39,0,0,0,267,44,,
1001,18940,2007,4,24,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,35,0,0,0,283,61,,
1001,18940,2007,4,25,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,30,51,0,0,244,61,,
1001,18940,2007,4,26,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,35,0,0,0,211,67,,
1001,18940,2007,4,27,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,11,485,0,0,139,78,,
1001,18940,2007,4,28,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,29,0,0,0,150,89,1,
1001,18940,2007,4,29,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,27,18,0,0,200,100,,
1001,18940,2007,4,30,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,41,3,0,0,206,56,,
1001,18940,2007,5,1,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,19,10,0,0,272,56,,
1001,18940,2007,5,2,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,25,0,0,0,206,83,,
1001,18940,2007,5,3,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,18,0,0,0,217,50,,
1001,18940,2007,5,4,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,16,0,0,0,206,33,,
1001,18940,2007,5,5,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,18,0,0,0,211,33,,
1001,18940,2007,5,6,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,49,0,0,0,233,39,,
1001,18940,2007,5,7,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,29,0,0,0,161,22,,
1001,18940,2007,5,8,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,23,0,0,0,183,22,,
1001,18940,2007,5,9,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,21,0,0,0,244,28,,
1001,18940,2007,5,10,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,20,0,0,0,267,100,1,
1001,18940,2007,5,11,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,16,0,0,0,261,167,1,
1001,18940,2007,5,12,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,30,53,0,0,278,128,,
1001,18940,2007,5,13,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,36,38,0,0,244,94,,
1001,18940,2007,5,14,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,24,0,0,0,206,33,,
1001,18940,2007,5,15,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,53,0,0,0,211,39,,
1001,18940,2007,5,16,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,44,150,0,0,278,111,,
1001,18940,2007,5,17,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,26,0,0,0,283,133,,
1001,18940,2007,5,18,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,34,0,0,0,194,100,,
1001,18940,2007,5,19,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,27,0,0,0,167,50,,
1001,18940,2007,5,20,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,36,114,0,0,178,78,,
1001,18940,2007,5,21,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,30,0,0,0,233,100,,
1001,18940,2007,5,22,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,0,0,0,217,56,,
1001,18940,2007,5,23,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,30,0,0,0,233,61,,
1001,18940,2007,5,24,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,0,0,0,244,94,,
1001,18940,2007,5,25,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,0,0,0,272,106,,
1001,18940,2007,5,26,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,5,0,0,306,117,1,
1001,18940,2007,5,27,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,12,13,0,0,306,156,1,
1001,18940,2007,5,28,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,20,23,0,0,306,167,1,
1001,18940,2007,5,29,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,21,0,0,0,267,111,,
1001,18940,2007,5,30,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,6,0,0,0,261,111,,
1001,18940,2007,5,31,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,16,0,0,0,294,111,1,
1001,18940,2007,6,1,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,147,0,0,322,144,1,
1001,18940,2007,6,2,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,0,0,0,311,183,1,
1001,18940,2007,6,3,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,40,236,0,0,311,183,,
1001,18940,2007,6,4,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,27,102,0,0,233,172,,
1001,18940,2007,6,5,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,29,0,0,0,250,156,1,
1001,18940,2007,6,6,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,28,0,0,0,261,144,,
1001,18940,2007,6,7,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,0,0,0,211,89,,
1001,18940,2007,6,8,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,10,0,0,0,272,89,1,
1001,18940,2007,6,9,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,37,5,0,0,333,150,1,
1001,18940,2007,6,10,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,10,0,0,0,289,172,,
1001,18940,2007,6,11,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,15,330,0,0,239,161,,
1001,18940,2007,6,12,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,18,564,0,0,272,167,,
1001,18940,2007,6,13,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,27,0,0,0,289,167,1,
1001,18940,2007,6,14,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,0,0,0,206,128,,
1001,18940,2007,6,15,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,15,0,0,0,161,122,,
1001,18940,2007,6,16,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,14,0,0,0,233,133,1,
1001,18940,2007,6,17,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,23,0,0,0,272,139,1,
1001,18940,2007,6,18,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,23,0,0,0,306,172,1,
1001,18940,2007,6,19,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,28,5,0,0,306,167,1,
1001,18940,2007,6,20,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,277,0,0,317,172,,
1001,18940,2007,6,21,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,24,0,0,0,261,117,,
1001,18940,2007,6,22,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,37,0,0,0,278,117,,
1001,18940,2007,6,23,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,26,0,0,0,244,89,,
1001,18940,2007,6,24,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,15,0,0,0,239,89,,
1001,18940,2007,6,25,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,9,0,0,0,272,100,1,
1001,18940,2007,6,26,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,13,0,0,0,267,161,1,
1001,18940,2007,6,27,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,24,36,0,0,328,178,1,
1001,18940,2007,6,28,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,21,216,0,0,339,206,1,
1001,18940,2007,6,29,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,15,13,0,0,306,200,,
1001,18940,2007,6,30,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,15,0,0,0,239,172,,
1001,18940,2007,7,1,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,34,0,0,0,267,122,,
1001,18940,2007,7,2,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,25,0,0,0,233,94,,
1001,18940,2007,7,3,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,16,0,0,0,228,94,,
1001,18940,2007,7,4,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,39,51,0,0,267,100,,
1001,18940,2007,7,5,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,18,41,0,0,239,172,1,
1001,18940,2007,7,6,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,193,0,0,261,189,,
1001,18940,2007,7,7,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,21,0,0,0,283,150,,
1001,18940,2007,7,8,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,0,0,0,294,156,,
1001,18940,2007,7,9,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,0,0,0,317,167,1,
1001,18940,2007,7,10,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,0,0,0,339,194,1,
1001,18940,2007,7,11,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,23,0,0,339,211,1,
1001,18940,2007,7,12,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,29,0,0,0,306,189,,
1001,18940,2007,7,13,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,19,0,0,0,272,156,,
1001,18940,2007,7,14,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,20,5,0,0,278,156,,
1001,18940,2007,7,15,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,32,0,0,0,289,167,1,
1001,18940,2007,7,16,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,23,66,0,0,322,194,1,
1001,18940,2007,7,17,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,16,0,0,0,283,178,1,
1001,18940,2007,7,18,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,7,99,0,0,317,178,1,
1001,18940,2007,7,19,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,,64,0,0,317,178,,
1001,18940,2007,7,20,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,36,0,0,0,294,200,,
1001,18940,2007,7,21,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,33,0,0,0,256,139,,
1001,18940,2007,7,22,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,27,0,0,0,272,144,,
1001,18940,2007,7,23,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,42,102,0,0,272,156,,
1001,18940,2007,7,24,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,0,0,0,200,117,,
1001,18940,2007,7,25,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,8,0,0,283,117,,
1001,18940,2007,7,26,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,16,0,0,0,294,150,1,
1001,18940,2007,7,27,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,25,13,0,0,294,211,,
1001,18940,2007,7,28,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,9,71,0,0,317,200,1,
1001,18940,2007,7,29,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,11,99,0,0,306,206,1,
1001,18940,2007,7,30,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,10,0,0,0,261,194,1,
1001,18940,2007,7,31,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,0,0,0,294,189,,
1001,18940,2007,8,1,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,16,0,0,0,300,178,,
1001,18940,2007,8,2,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,13,0,0,0,317,178,1,
1001,18940,2007,8,3,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,26,0,0,0,339,189,,
1001,18940,2007,8,4,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,0,0,0,333,211,1,
1001,18940,2007,8,5,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,30,3,0,0,333,167,,
1001,18940,2007,8,6,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,43,0,0,294,172,1,
