zip,city,state,cws_id,cws_name,cws_dist
32444,LYNN HAVEN,FL,USC00086842,PANAMA CITY 5N,1443.0
32062,MC ALPIN,FL,US1FLSW0012,MCALPIN 5.4 E,9625.0
32568,MC DAVID,FL,US1FLES0039,CENTURY 12.1 W,11571.0
32063,MACCLENNY,FL,US1FLBK0002,MACCLENNY 2.5 S,3929.0
32340,MADISON,FL,USC00085275,MADISON,952.0
32544,HURLBURT FIELD,FL,USW00003852,VALPARAISO HURLBURT FLD,740.0
32569,MARY ESTHER,FL,US1FLOK0014,MARY ESTHER 0.4 WNW,489.0
32066,MAYO,FL,USC00085539,MAYO,6371.0
32666,MELROSE,FL,USC00085622,MELROSE,1855.0
32667,MICANOPY,FL,USC00085690,MICANOPY,319.0
32050,MIDDLEBURG,FL,US1FLCY0013,MIDDLEBURG 0.7 S,1051.0
32343,MIDWAY,FL,US1FLGD0007,HAVANA 5.1 SSW,7869.0
32570,MILTON,FL,US1FLSR0002,MILTON 1.4 NNE,2368.0
32577,MOLINO,FL,US1FLES0008,MOLINO 2.7 SSW,3696.0
32344,MONTICELLO,FL,US1FLJF0001,MONTICELLO 0.2 ESE,227.0
32668,MORRISTON,FL,USC00085935,MORRISTON,4155.0
32669,NEWBERRY,FL,US1FLAL0034,NEWBERRY 0.7 SSE,505.0
32578,NICEVILLE,FL,USC00086240,NICEVILLE,1241.0
34470,OCALA,FL,US1FLMR0054,OCALA 1.1 SE,1380.0
32680,OLD TOWN,FL,USC00086500,OLD TOWN,2984.0
32681,ORANGE LAKE,FL,USC00086618,ORANGE SPRINGS 2SSW,4866.0
32003,FLEMING ISLAND,FL,USC00086612,ORANGE PARK,744.0
32030,DOCTORS INLET,FL,US1FLCY0006,ORANGE PARK 4.7 SW,1391.0
32683,OTTER CREEK,FL,USC00089120,USHER TWR,10887.0
34484,OXFORD,FL,USC00086700,OXFORD,1615.0
32346,PANACEA,FL,US1FLWK0007,CRAWFORDVILLE 7.3 SSE,7558.0
32401,PANAMA CITY,FL,USC00086836,PANAMA CITY,2910.0
32407,PANAMA CITY BEACH,FL,US1FLBY0014,PANAMA CITY BEACH 4.9 ESE,2751.0
32461,ROSEMARY BEACH,FL,US1FLBY0010,PANAMA CITY BEACH 5.9 WNW,490.0
32079,PENNEY FARMS,FL,US1FLCY0041,PENNEY FARMS 0.1 E,112.0
32501,PENSACOLA,FL,US1FLES0026,PENSACOLA 1.9 NE,2989.0
32347,PERRY,FL,USC00087025,PERRY,579.0
32350,PINETTA,FL,US1FLMS0002,MADISON 8.3 NNE,2710.0
32004,PONTE VEDRA BEACH,FL,USC00087272,PONTE VEDRA BEACH,485.0
32081,PONTE VEDRA,FL,US1FLSJ0022,SAWGRASS 2.1 S,9619.0
32410,MEXICO BEACH,FL,US1FLGF0003,PORT ST. JOE 8.1 NNW,4645.0
32456,PORT SAINT JOE,FL,US1FLGF0001,PORT ST. JOE 0.6 SE,5545.0
32351,QUINCY,FL,USC00087424,QUINCY EXP STN,484.0
32026,RAIFORD,FL,USC00087440,RAIFORD STATE PRISON,4629.0
32080,SAINT AUGUSTINE,FL,US1FLSJ0021,ST. AUGUSTINE 8.2 SSE,2093.0
32355,SAINT MARKS,FL,USC00087869,ST MARKS NWR,3751.0
32072,OLUSTEE,FL,USR0000FOLU,OLUSTEE FLORIDA,1924.0
32087,SANDERSON,FL,US1FLBK0005,GLEN ST. MARY 4.4 SW,5122.0
32357,SHADY GROVE,FL,USC00088094,SECOTAN,9096.0
32579,SHALIMAR,FL,US1FLOK0016,SHALIMAR 1.0 N,2343.0
34488,SILVER SPRINGS,FL,US1FLMR0045,OCALA 2.4 NNW,1882.0
32460,SNEADS,FL,USC00089795,WOODRUFF DAM,5013.0
32358,SOPCHOPPY,FL,USC00086828,PANACEA 1 S,5699.0
32091,STARKE,FL,USC00088529,STARKE,652.0
32359,STEINHATCHEE,FL,USC00088076,SEA HAG MARINA,204.0
34491,SUMMERFIELD,FL,US1FLMR0066,THE VILLAGES 3.7 NNW,2303.0
32692,SUWANNEE,FL,USR0000FLSU,LOWER SUWANNEE FLORIDA,11824.0
32301,TALLAHASSEE,FL,US1FLLN0023,TALLAHASSEE 0.6 SE,444.0
32693,TRENTON,FL,US1FLGC0008,TRENTON 4.0 NW,7251.0
32462,VERNON,FL,USC00089206,VERNON,1764.0
32361,WACISSA,FL,US1FLJF0003,WACISSA 1.1 SW,1788.0
32694,WALDO,FL,US1FLAL0030,GAINESVILLE 8.1 NE,7620.0
32463,WAUSAU,FL,USC00089417,WAUSAU,484.0
32094,WELLBORN,FL,US1FLSW0007,LAKE CITY 9.9 W,6402.0
32449,WEWAHITCHKA,FL,US1FLCN0001,KINARD 1.2 ENE,2718.0
32096,WHITE SPRINGS,FL,US1FLHM0005,WHITE SPRINGS 0.3 NW,1235.0
32362,WOODVILLE,FL,US1FLLN0066,TALLAHASSEE 10.4 SSE,1864.0
34498,YANKEETOWN,FL,US1FLLV0012,YANKEETOWN 4.2 E,2122.0
32041,YULEE,FL,US1FLNS0006,YULEE 0.7 NNW,1523.0
31001,ABBEVILLE,GA,USC00090006,ABBEVILLE - RIVER,945.0
31620,ADEL,GA,USC00090051,ADEL,1115.0
30410,AILEY,GA,USC00090090,AILEY,480.0
30411,ALAMO,GA,US1GAWE0001,HELENA 4.6 N,12913.0
31622,ALAPAHA,GA,USC00090131,ALAPAHA EXP STN,3348.0
31701,ALBANY,GA,USW00013869,ALBANY SW GA RGNL AP,4469.0
31301,ALLENHURST,GA,US1GALG0001,WALTHOURVILLE 3.4 WNW,7951.0
31003,ALLENTOWN,GA,USC00090190,ALLENTOWN,1452.0
31510,ALMA,GA,USW00013870,ALMA BACON CO AP,3513.0
30412,ALSTON,GA,US1GATM0004,VIDALIA 2.0 WSW,13827.0
31512,AMBROSE,GA,USC00097171,PRIDGEN,14266.0
31709,AMERICUS,GA,US1GASR0001,AMERICUS 0.4 SE,364.0
31711,ANDERSONVILLE,GA,USC00090284,ANDERSONVILLE,1278.0
